epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.66585,2.81464,3.0587,2.71057,0.00773,1,0.13329,0.02789,2.93442,2.98623,3.53005,0.002,0.002,0.002
2,3.04209,2.56796,3.07245,2.56079,0.00773,1,0.13329,0.02789,2.93442,2.98623,3.53005,0.00197525,0.00197525,0.00197525
3,4.34104,2.85695,2.8873,2.83885,0.00773,1,0.13329,0.02789,2.93442,2.98623,3.53005,0.0019505,0.0019505,0.0019505
4,5.62981,2.80834,3.13189,2.71609,0.00583,1,0.56089,0.23554,1.87737,2.50776,1.5975,0.00192575,0.00192575,0.00192575
5,7.25609,1.98006,2.64282,1.91779,0.00583,1,0.56089,0.23554,1.87737,2.50776,1.5975,0.001901,0.001901,0.001901
6,8.93832,2.17068,2.64291,2.00209,0.00583,1,0.56089,0.23554,1.87737,2.50776,1.5975,0.00187625,0.00187625,0.00187625
7,10.5056,2.29222,2.43477,2.08357,0.00583,1,0.56089,0.23554,1.87737,2.50776,1.5975,0.0018515,0.0018515,0.0018515
8,12.139,2.07231,2.41029,1.94069,0.00518,1,0.08289,0.01642,2.61173,3.10299,2.98191,0.00182675,0.00182675,0.00182675
9,13.6666,2.29037,2.64725,2.36331,0.00518,1,0.08289,0.01642,2.61173,3.10299,2.98191,0.001802,0.001802,0.001802
10,15.1199,2.00304,2.55199,2.13391,0.00518,1,0.08289,0.01642,2.61173,3.10299,2.98191,0.00177725,0.00177725,0.00177725
11,16.7864,2.4112,2.69262,2.49968,0.00518,1,0.08289,0.01642,2.61173,3.10299,2.98191,0.0017525,0.0017525,0.0017525
12,18.4477,2.27845,2.43494,2.22709,0.00501,1,0.02038,0.00692,2.26979,3.3151,3.55531,0.00172775,0.00172775,0.00172775
13,19.9801,1.97871,2.22774,2.02751,0.00501,1,0.02038,0.00692,2.26979,3.3151,3.55531,0.001703,0.001703,0.001703
14,21.483,2.01201,2.14673,2.19602,0.00501,1,0.02038,0.00692,2.26979,3.3151,3.55531,0.00167825,0.00167825,0.00167825
15,23.1022,1.86011,2.30595,2.01352,0.00501,1,0.02038,0.00692,2.26979,3.3151,3.55531,0.0016535,0.0016535,0.0016535
16,24.6751,1.95226,2.31026,2.0718,0.00521,1,0.01201,0.00326,2.97366,3.4023,5.21044,0.00162875,0.00162875,0.00162875
17,26.1008,2.40852,2.35904,2.74332,0.00521,1,0.01201,0.00326,2.97366,3.4023,5.21044,0.001604,0.001604,0.001604
18,27.7013,2.194,2.7823,2.05828,0.00521,1,0.01201,0.00326,2.97366,3.4023,5.21044,0.00157925,0.00157925,0.00157925
19,29.1978,2.1048,2.1634,2.24154,0.00521,1,0.01201,0.00326,2.97366,3.4023,5.21044,0.0015545,0.0015545,0.0015545
20,30.6696,2.07942,2.33729,2.3234,0.00622,1,0.33165,0.06574,2.58718,3.09837,3.97223,0.00152975,0.00152975,0.00152975
21,32.2947,1.83198,2.22419,1.95883,0.00622,1,0.33165,0.06574,2.58718,3.09837,3.97223,0.001505,0.001505,0.001505
22,33.8378,1.79048,2.23218,2.0358,0.00622,1,0.33165,0.06574,2.58718,3.09837,3.97223,0.00148025,0.00148025,0.00148025
23,35.4051,2.12584,2.16095,2.09532,0.00622,1,0.33165,0.06574,2.58718,3.09837,3.97223,0.0014555,0.0014555,0.0014555
24,36.9801,1.95958,2.18584,2.11639,0.02862,0.4,0.14117,0.02726,1.80865,2.99875,3.05731,0.00143075,0.00143075,0.00143075
25,38.6844,1.65562,2.07411,1.8683,0.02862,0.4,0.14117,0.02726,1.80865,2.99875,3.05731,0.001406,0.001406,0.001406
26,40.038,1.93989,2.27113,1.91272,0.02862,0.4,0.14117,0.02726,1.80865,2.99875,3.05731,0.00138125,0.00138125,0.00138125
27,41.5043,1.63848,1.9387,1.83472,0.02862,0.4,0.14117,0.02726,1.80865,2.99875,3.05731,0.0013565,0.0013565,0.0013565
