epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.73467,3.12124,2.98369,3.70264,0.00772,1,0.17765,0.03888,2.9258,2.94677,3.50374,0,0,0
2,3.25246,2.98338,2.86703,3.50757,0.00767,1,0.17594,0.04689,2.85522,2.94728,3.41995,1.802e-05,1.802e-05,1.802e-05
3,4.61016,3.08999,2.93912,3.70707,0.00754,1,0.17145,0.04505,2.77601,3.00058,3.29969,3.208e-05,3.208e-05,3.208e-05
4,5.99569,3.03751,3.16273,3.29088,0.00753,1,0.19562,0.06956,2.63797,3.04026,3.10562,4.218e-05,4.218e-05,4.218e-05
5,7.34702,3.03286,3.30271,3.37039,0.00753,1,0.21891,0.08803,2.53191,3.06265,2.98585,4.832e-05,4.832e-05,4.832e-05
6,8.73615,2.74365,2.85319,2.8198,0.00741,1,0.36427,0.10538,2.48775,2.98866,2.8444,5.05e-05,5.05e-05,5.05e-05
7,9.94346,2.71082,2.6785,2.94205,0.00729,1,0.41999,0.14682,2.39557,2.98345,2.66687,4.872e-05,4.872e-05,4.872e-05
8,11.2614,2.50047,2.56803,2.67051,0.00715,1,0.52514,0.16879,2.37567,2.94365,2.55561,4.298e-05,4.298e-05,4.298e-05
9,12.6217,2.55344,2.51432,2.66058,0.00714,1,0.5413,0.1777,2.32125,2.93383,2.46049,3.328e-05,3.328e-05,3.328e-05
10,13.9103,2.22998,2.55128,2.48185,0.00712,1,0.55715,0.18748,2.30206,2.92604,2.42446,1.962e-05,1.962e-05,1.962e-05
